"id";"numero_cte";"xml_cte_sftp";"xml_par_sftp";"pod_par_sftp";"situacao"
"8480";"000048321";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8631";"000048325";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8627";"000048326";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8552";"000048327";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8574";"000048333";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8622";"000048334";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8497";"000048335";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8649";"000048337";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8361";"000048345";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8354";"000048355";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8356";"000048364";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8625";"000048366";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8383";"000048372";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8557";"000048373";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8434";"000048378";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8609";"000048380";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8659";"000048381";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8496";"000048384";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8468";"000048399";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8542";"000048405";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8535";"000048408";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8591";"000048409";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8353";"000048410";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
